locus_tag,gene,srm_ response,concentration,peptides_per_protein
Rv0468,fadB2,1930031,3,3
Rv3212,,1929216,3,3
Rv3799c,accD4,1927593,3,5
Rv3411c,guaB2,1924773,3,3
Rv1521,fadD25,1922643,3,3
Rv3342,,1922059,3,3
Rv0548c,menB,1917153,3,2
Rv1265,,1911389,3,2
Rv3802c,,1910849,3,3
Rv0187,,1909921,3,3
Rv2155c,murD,1905109,3,4
Rv2030c,,1904969,3,4
Rv2607,pdxH,1904225,3,4
Rv0562,grcC1,1898820,3,3
Rv0927c,,3015180,3,5
Rv3438,,1895750,3,3
Rv2732c,,1892938,3,3
Rv3147,nuoC,1891508,3,3
Rv3633,,1889593,3,2
Rv2005c,,1885414,3,3
Rv2484c,,1881233,3,2
Rv3818,,1879331,3,3
Rv3608c,folP1,1878832,3,2
Rv3781,rfbE,1877417,3,3
Rv3674c,nth,1875057,3,5
Rv1608c,bcpB,1873749,3,2
Rv3033,,1868031,3,2
Rv1260,,1867717,3,6
Rv2987c,leuD,1864059,3,3
Rv1084,,1860473,3,6
Rv1238,sugC,1859501,3,3
Rv1121,zwf1,1856277,3,3
Rv2157c,murF,1855171,3,3
Rv3302c,glpD2,1846026,3,3
Rv0864,moaC2,1843526,3,3
Rv2992c,gltS,1840991,3,3
Rv1836c,,1837260,3,2
Rv2933,ppsC,1830985,3,2
Rv0480c,,1827583,3,3
Rv2251,,1824848,3,3
Rv3754,tyrA,1824201,3,4
Rv2888c,amiC,1813312,3,3
Rv3772,hisC2,1797166,3,5
Rv2537c,aroD,1795244,3,3
Rv2931,ppsA,1792631,3,3
Rv0332,,1792237,3,4
Rv1623c,cydA,1787146,3,3
Rv3518c,cyp142,1785004,3,2
Rv0334,rmlA,1782332,3,3
Rv0538,,1777499,3,2
Rv2959c,,1777321,3,2
Rv3423c,alr,1775387,3,4
Rv1823,,1772391,3,3
Rv2412,rpsT,1771859,3,2
Rv3410c,guaB3,1768539,3,3
Rv2258c,,1758309,3,3
Rv1732c,,1754252,3,2
Rv2135c,,1752281,3,3
Rv2925c,rnc,1751089,3,4
Rv0496,,1750517,3,4
Rv0472c,,1748828,3,3
Rv0761c,adhB,1745344,3,3
Rv0286,PPE4,1736126,3,3
Rv2495c,pdhC,1732408,3,3
Rv1680,,1732109,3,3
Rv1218c,,1730605,3,3
Rv0410c,pknG,1728604,3,4
Rv3220c,,1721032,3,4
Rv1001,arcA,1720537,3,3
Rv2224c,caeA,1718161,3,4
Rv1629,polA,1713951,3,2
Rv3510c,,1712614,3,3
Rv1293,lysA,1712386,3,6
Rv2565,,1703313,3,2
Rv1364c,,1699980,3,2
Rv2095c,pafC,1694414,3,3
Rv2114,,1692772,3,2
Rv0994,moeA1,1690341,3,6
Rv1689,tyrS,1683255,3,3
Rv3336c,trpS,1680746,3,3
Rv2965c,kdtB,1677000,3,3
Rv3607c,folB,1675878,3,2
Rv0690c,,1675302,3,2
Rv1461,,1665469,3,3
Rv2016,,1663836,3,4
Rv2134c,,1660889,3,3
Rv3791,dprE2,1660294,3,5
Rv1239c,corA,1658513,3,2
Rv1598c,,1656642,3,3
Rv1021,,1651552,3,3
Rv2701c,suhB,1648599,3,3
Rv3376,,1648520,3,4
Rv2297,,1647269,3,2
Rv3148,nuoD,1646115,3,3
Rv0513,,1644786,3,3
Rv1220c,,1644453,3,3
Rv0819,mshD,1639996,3,3
Rv3009c,gatB,1636807,3,3
Rv0126,treS,1635310,3,3
Rv2954c,,1629787,3,4
Rv3863,,1629732,3,3
Rv1795,eccD5,1628073,3,2
Rv3211,rhlE,1625743,3,6
Rv2457c,clpX,1621369,3,3
Rv2289,cdh,1616393,3,3
Rv3106,fprA,1614794,3,4
Rv1993c,,1610547,3,2
Rv1601,hisB,1610359,3,2
Rv1206,fadD6,1606157,3,3
Rv3843c,,1604667,3,3
Rv2694c,,1594347,2,4
Rv3261,fbiA,1593170,2,3
Rv1445c,devB,1592681,2,2
Rv2018,,1592301,2,3
Rv2751,,1592128,2,6
Rv3151,nuoG,1591951,2,3
Rv3588c,canB,1591892,2,3
Rv2739c,,1587204,2,3
Rv0383c,,1585076,2,4
Rv1923,lipD,1582985,2,3
Rv1512,epiA,1582349,2,3
Rv1533,,1576868,2,3
Rv3587c,,1576755,2,3
Rv1363c,,1574770,2,3
Rv0547c,,1565210,2,3
Rv2678c,hemE,1564032,2,2
Rv1617,pykA,1561958,2,2
Rv1295,thrC,1556923,2,2
Rv0553,menC,1556621,2,2
Rv3778c,,1555551,2,3
Rv3318,sdhA,1552894,2,3
Rv1280c,oppA,1552440,2,3
Rv1446c,opcA,1548246,2,6
Rv1874,,1544482,2,3
Rv1595,nadB,1543388,2,6
Rv2149c,yfiH,1542644,2,3
Rv3634c,galE1,1541172,2,3
Rv0555,menD,1540268,2,6
Rv1762c,,1538167,2,3
Rv3154,nuoJ,1536752,2,2
Rv1513,,1536058,2,2
Rv2922A,acyP,1532927,2,4
Rv0153c,ptbB,1531519,2,3
Rv2852c,mqo,1528512,2,4
Rv1339,,1520585,2,2
Rv3837c,,1513994,2,2
Rv0801,,1513271,2,3
Rv1314c,,1513173,2,2
Rv2939,papA5,1512422,2,3
Rv3012c,gatC,1512155,2,3
Rv3041c,,1510479,2,3
Rv0230c,php,1510209,2,4
Rv2572c,aspS,1509672,2,3
Rv1832,gcvB,1507336,2,2
Rv1010,ksgA,1507009,2,4
Rv1990c,,1506884,2,3
Rv1783,eccCa5,1506544,2,3
Rv3723,,1505833,2,2
Rv3534c,hsaF,1490704,2,2
Rv1464,csd,1490611,2,3
Rv2375,,1489258,2,3
Rv0998,,1485835,2,4
Rv0830,,1485669,2,3
Rv1179c,,1484871,2,5
Rv3661,,1483859,2,4
Rv0443,,1481947,2,4
Rv1166,lpqW,1478833,2,2
Rv1307,atpH,1477581,2,3
Rv1193,fadD36,1476059,2,3
Rv1229c,mrp,1475992,2,3
Rv0078A,,1474940,2,2
Rv3876,espI,1474102,2,6
Rv2345,,1473533,2,4
Rv0389,purT,1470621,2,2
Rv1387,PPE20,1470272,2,3
Rv3193c,,1459891,2,3
Rv0365c,,1458332,2,3
Rv2799,,1458075,2,3
Rv2901c,,1453746,2,3
Rv3290c,lat,1444503,2,2
Rv3667,acs,1434644,2,3
Rv3838c,pheA,1433397,2,2
Rv1746,pknF,1430796,2,5
Rv3777,,1428081,2,4
Rv0052,,1427531,2,5
Rv0686,,1418080,2,2
Rv3303c,lpdA,1417162,2,6
Rv2906c,trmD,1401558,2,2
Rv0177,,1400098,2,5
Rv0050,ponA1,1399638,2,2
Rv1882c,,1394596,2,3
Rv1652,argC,1392401,2,4
Rv2698,,1391477,2,3
Rv0202c,mmpL11,1391371,2,3
Rv0576,,1385782,2,3
Rv1077,cbs,1384824,2,2
Rv3256c,,1384737,2,3
Rv1360,,1381978,2,2
Rv3215,entC,1375405,2,4
Rv0023,,1372280,2,4
Rv0123,,1371252,2,2
Rv1825,,1369715,2,2
Rv2338c,moeW,1366828,2,4
Rv2334,cysK1,1363948,2,3
Rv3880c,espL,1362255,2,2
Rv3761c,fadE36,1362056,2,3
Rv1266c,pknH,1361310,2,3
Rv3465,rmlC,1359790,2,2
Rv1880c,cyp140,1352764,2,3
Rv0479c,,1352418,2,3
Rv0438c,moeA2,1352062,2,3
Rv3104c,,1350359,2,4
Rv3210c,,1347769,2,3
Rv2500c,fadE19,1345166,2,4
Rv2314c,,1342072,2,2
Rv3602c,panC,1341895,2,3
Rv2589,gabT,2698943,2,3
Rv3322c,,1335043,2,3
Rv3834c,serS,1331446,2,3
Rv1719,,1329832,2,4
Rv3197,,1329521,2,3
Rv3873,PPE68,1329491,2,2
Rv0075,,1328521,2,2
Rv3824c,papA1,1327866,2,7
Rv0926c,,1326651,2,2
Rv3721c,dnaZX,1325806,2,2
Rv1191,,1324074,2,3
Rv3025c,iscS,1320673,2,5
Rv3808c,glfT2,1320576,2,3
Rv0678,,1319269,2,2
Rv1711,,1319030,2,2
Rv2400c,subI,1317273,2,3
Rv1692,,1316695,2,3
Rv3213c,,1316687,2,3
Rv2710,sigB,1316264,2,4
Rv3059,cyp136,1316157,2,5
Rv0331,,1315538,2,3
Rv3293,pcd,1312773,2,3
Rv3887c,eccD2,1308263,2,2
Rv1589,bioB,1304796,2,2
Rv2936,drrA,1304372,2,5
Rv0457c,,1301627,2,2
Rv1407,fmu,1298160,2,5
Rv3793,embC,1295089,2,3
Rv1761c,,1294262,2,4
Rv3275c,purE,1294220,2,2
Rv1118c,,1290531,2,4
Rv1281c,oppD,1289976,2,3
Rv1782,eccB5,1287014,2,2
Rv2280,,1286936,2,2
Rv1126c,,1285018,2,3
Rv1061,,1284894,2,3
Rv1286,cysN,1282732,2,3
Rv0985c,mscL,1281139,2,3
Rv2857c,,1274232,2,3
Rv0999,,1273769,2,3
Rv0134,ephF,1271791,2,2
Rv2847c,cysG,1270208,2,2
Rv0412c,,1269196,2,3
Rv3788,,1265766,2,2
Rv0899,ompA,1265639,2,4
Rv3119,moaE1,1265523,2,3
Rv3535c,hsaG,1264850,2,3
Rv3291c,lrpA,1264725,2,3
Rv0501,galE2,1263036,2,3
Rv1380,pyrB,1261311,2,5
Rv2540c,aroF,1259311,2,3
Rv3339c,icd1,1257963,2,6
Rv2042c,,1257609,2,5
Rv3870,eccCa1,1254498,2,5
Rv3483c,,1254488,2,2
Rv1769,,1252365,2,3
Rv3408,,1251409,2,4
Rv3279c,birA,1249894,2,2
Rv0149,,1247889,2,2
Rv2683,,1245027,2,2
Rv0844c,narL,1244210,2,2
Rv2447c,folC,1242134,2,3
Rv2201,asnB,1241676,2,4
Rv0489,gpm1,1241472,2,3
Rv2616,,1238801,2,2
Rv0262c,aac,1238644,2,3
Rv3695,,1238289,2,3
Rv2192c,trpD,1237683,2,4
Rv2682c,dxs1,1237004,2,3
Rv3153,nuoI,1232049,2,3
Rv1794,,1228867,2,2
Rv2305,,1227542,2,6
Rv2731,,1227111,2,3
Rv1096,,1225370,2,3
Rv2363,amiA2,1224242,2,3
Rv3575c,,1223428,2,3
Rv3909,,1219637,2,2
Rv0785,,1214499,2,6
Rv1059,,1214366,2,5
Rv1938,ephB,1214210,2,4
Rv0857,,1213619,2,3
Rv3826,fadD23,1212485,2,3
Rv0681,,1210791,2,3
Rv2934,ppsD,1210117,2,5
Rv0120c,fusA2,1209502,2,3
Rv3013,,1207896,2,4
Rv3407,,1206615,2,2
Rv1696,recN,1205693,2,6
Rv1869c,,1204633,2,2
Rv3606c,folK,1203325,2,3
Rv0911,,1202994,2,3
Rv0015c,pknA,1199122,2,4
Rv0493c,,1198526,2,5
Rv1412,ribC,1197189,2,2
Rv3045,adhC,1196050,2,2
Rv2247,accD6,1195407,2,3
Rv1780,,1195077,2,2
Rv0560c,,1194472,2,2
Rv3794,embA,1193338,2,3
Rv0298,,1191035,2,2
Rv3536c,hsaE,1189932,2,4
Rv2096c,pafB,1188304,2,3
Rv2291,sseB,1186434,2,2
Rv0055,rpsR1,1185779,2,2
Rv0972c,fadE12,1185196,2,3
Rv3198A,,1181950,2,3
Rv2182c,,1171084,2,2
Rv0409,ackA,1169406,2,3
Rv0812,,1168849,2,4
Rv3785,,1167554,2,2
Rv0406c,,1166156,2,3
Rv2037c,,1165221,2,3
Rv2052c,,1164095,2,6
Rv1215c,,1163680,2,2
Rv1101c,,1162909,2,2
Rv2117,,1162162,2,2
Rv1185c,fadD21,1161964,2,2
Rv2360c,,1161538,2,3
Rv3040c,,1161180,2,3
Rv1330c,pncB1,1159749,2,2
Rv1496,,1159157,2,3
Rv0175,,1157801,2,3
Rv3646c,topA,1851826,2,3
Rv2003c,,1152285,2,4
Rv2977c,thiL,1149822,2,4
Rv2593c,ruvA,1146849,2,3
Rv1182,papA3,1146143,2,4
Rv3227,aroA,1140203,2,2
Rv1237,sugB,1138851,2,2
Rv0130,htdZ,1138642,2,3
Rv0512,hemB,1137310,2,3
Rv3805c,aftB,1136298,2,3
Rv2368c,phoH1,1134619,2,5
Rv0289,espG3,1131077,2,3
Rv0940c,,1130125,2,5
Rv2263,,1129920,2,3
Rv3580c,cysS1,1128540,2,3
Rv3218,,1127263,2,4
Rv1232c,,1126936,2,2
Rv0734,mapA,1126505,2,4
Rv0706,rplV,1125092,2,2
Rv0732,secY,1124784,2,3
Rv0435c,,1124114,2,2
Rv0528,,1123111,2,3
Rv0038,,1122143,2,3
Rv3502c,,1118618,2,2
Rv2988c,leuC,1116289,2,3
Rv0201c,,1114641,2,3
Rv2790c,ltp1,1114198,2,4
Rv2726c,dapF,1108421,2,3
Rv1132,,1107047,2,3
Rv2403c,lppR,1104905,2,3
Rv0295c,,1103719,2,2
Rv0048c,,1103454,2,3
Rv3548c,,1097501,2,3
Rv1367c,,1097455,2,3
Rv1439c,,1096167,2,3
Rv0382c,pyrE,1095614,2,2
Rv1599,hisD,1094188,2,2
Rv2439c,proB,1093593,2,4
Rv3093c,,1091228,2,2
Rv2121c,hisG,1090297,2,3
Rv3482c,,1090139,2,3
Rv0986,,1089501,2,2
Rv3815c,,1086696,2,3
Rv0825c,,1086174,2,4
Rv0956,purN,1081721,2,4
Rv1467c,fadE15,1081033,2,3
Rv1019,,1079915,2,3
Rv3002c,ilvN,1078321,2,2
Rv0158,,1076157,2,3
Rv1086,,1075584,2,3
Rv2417c,,1071624,2,4
Rv1797,eccE5,1070220,2,3
Rv2482c,plsB2,1069841,2,3
Rv2915c,,1065462,2,3
Rv0221,,1065294,2,4
Rv1920,,1061918,2,3
Rv2985,mutT1,1061436,2,2
Rv3158,nuoN,1061362,2,2
Rv3237c,,1058875,2,2
Rv2504c,scoA,1054677,2,3
Rv2502c,accD1,1054346,2,7
Rv2130c,mshC,1052792,2,6
Rv0759c,,1052595,2,3
Rv2473,,1049594,2,2
Rv3809c,glf,1047801,2,3
Rv0348,,1047540,2,2
Rv3373,echA18,1044505,2,3
Rv1327c,glgE,1043041,2,2
Rv3058c,,1040040,2,2
Rv3340,metC,1036607,2,3
Rv0554,bpoC,1033837,2,2
Rv2051c,ppm1,1030604,2,3
Rv0564c,gpdA1,1029764,2,3
Rv0091,mtn,1028989,2,2
Rv2229c,,1027425,2,3
Rv1013,pks16,1024144,2,2
Rv3365c,,1021720,2,6
Rv3241c,,1021132,2,3
Rv3035,,1020595,2,4
Rv2374c,hrcA,1018569,2,2
Rv0293c,,1016549,2,4
Rv0178,,1015722,2,3
Rv1516c,,1011836,2,3
Rv3688c,,1008050,2,3
Rv3392c,cmaA1,1008019,2,3
Rv2569c,,1004093,2,4
Rv0171,mce1C,1002896,2,3
Rv0016c,pbpA,1001581,2,2
Rv3779,,1000275,2,4
Rv2256c,,1000255,2,3
Rv2581c,,1000176,2,3
Rv0563,htpX,996341,2,3
Rv0497,,996222,2,3
Rv0303,,990690,2,7
Rv0861c,ercc3,990109,2,3
Rv1108c,xseA,988375,2,6
Rv3731,ligC,987615,2,3
Rv2137c,,987535,2,3
Rv0466,,985080,2,2
Rv1283c,oppB,985005,2,3
Rv3068c,pgmA,984959,2,2
Rv3782,glfT1,982186,2,5
Rv1710,scpB,982088,2,3
Rv3501c,yrbE4A,981987,2,3
Rv0392c,ndhA,981277,2,3
Rv0137c,msrA,977902,2,2
Rv2942,mmpL7,976306,2,3
Rv1287,,973383,2,4
Rv0510,hemC,973375,2,3
Rv3436c,glmS,972878,2,3
Rv3907c,pcnA,970901,2,3
Rv3624c,hpt,968497,2,3
Rv0473,,964220,2,5
Rv1481,,962640,2,4
Rv2818c,,961226,2,7
Rv3504,fadE26,956720,2,2
Rv3313c,add,951118,2,3
Rv1400c,lipI,950250,2,2
Rv0199,,950009,2,2
Rv2249c,glpD1,949048,2,5
Rv0670,end,948958,2,3
Rv1350,fabG2,947044,2,4
Rv3464,rmlB,946904,2,3
Rv1100,,946889,2,2
Rv2419c,,944416,2,3
Rv1538c,ansA,943971,2,2
Rv2026c,,938995,1,3
Rv3003c,ilvB1,936993,1,3
Rv1152,,933515,1,3
Rv2737c,recA,931276,1,2
Rv2444c,rne,930956,1,2
Rv1209,,930510,1,3
Rv2402,,929936,1,3
Rv2989,,928078,1,3
Rv1326c,glgB,927816,1,2
Rv1109c,,926634,1,2
Rv2234,ptpA,924736,1,3
Rv2586c,secF,923113,1,4
Rv3574,kstR,922887,1,3
Rv2614c,thrS,921773,1,3
Rv1989c,,921161,1,4
Rv2837c,,920453,1,3
Rv3437,,919551,1,2
Rv1071c,echA9,918665,1,3
Rv3609c,folE,918320,1,2
Rv1025,,916441,1,5
Rv2124c,metH,915558,1,3
Rv2845c,proS,914776,1,3
Rv0845,,913594,1,3
Rv3038c,,911561,1,2
Rv0738,,910434,1,2
Rv0903c,prrA,910279,1,2
Rv1184c,,908690,1,3
Rv1213,glgC,907798,1,3
Rv0902c,prrB,907457,1,2
Rv2527,vapC17,906908,1,3
Rv3432c,gadB,906314,1,3
Rv2969c,,905300,1,3
Rv2680,,904809,1,3
Rv1561,vapC11,901871,1,4
Rv2533c,nusB,900585,1,3
Rv3850,,900037,1,2
Rv2841c,nusA,899961,1,2
Rv1170,mshB,899227,1,2
Rv3699,,897924,1,2
Rv1912c,fadB5,897657,1,2
Rv1998c,,895999,1,4
Rv3819,,895310,1,3
Rv3015c,,894616,1,3
Rv3882c,eccE1,893801,1,5
Rv0669c,,892376,1,3
Rv1754c,,891657,1,4
Rv0778,cyp126,891376,1,3
Rv3600c,,891344,1,2
Rv2409c,,890448,1,2
Rv1896c,,889214,1,3
Rv1996,,888181,1,3
Rv1638,uvrA,884971,1,3
Rv0176,,884732,1,2
Rv2558,,883344,1,5
Rv1615,,880516,1,2
Rv0417,thiG,880392,1,4
Rv0502,,878477,1,4
Rv3773c,,878437,1,3
Rv0300,vapB2,877008,1,3
Rv2006,otsB1,876071,1,4
Rv2948c,fadD22,875612,1,3
Rv1796,mycP5,875403,1,4
Rv2528c,mrr,874142,1,3
Rv1558,,873830,1,3
Rv1631,coaE,872779,1,3
Rv0492c,,871960,1,4
Rv1225c,,869187,1,6
Rv1338,murI,867096,1,6
Rv2406c,,867049,1,2
Rv2165c,,865065,1,3
Rv3014c,ligA,863928,1,4
Rv2315c,,862486,1,2
Rv0740,,860412,1,3
Rv2240c,,859458,1,2
Rv1536,ileS,858339,1,3
Rv3918c,parA,857000,1,3
Rv1854c,ndh,856359,1,3
Rv2372c,,855713,1,2
Rv3703c,,854016,1,4
Rv0773c,ggtA,854006,1,4
Rv2619c,,853404,1,3
Rv2404c,lepA,853383,1,3
Rv2438c,nadE,850046,1,3
Rv0672,fadE8,849951,1,2
Rv3814c,,849878,1,3
Rv3039c,echA17,848191,1,2
Rv3700c,,847365,1,3
Rv2259,mscR,845335,1,2
Rv0041,leuS,1452759,1,2
Rv3048c,nrdF2,1428177,1,3
Rv1422,,842891,1,2
Rv2850c,,842736,1,3
Rv3244c,lpqB,842177,1,2
Rv2553c,,840105,1,3
Rv0408,pta,838300,1,2
Rv1498c,,838113,1,3
Rv1614,lgt,837894,1,3
Rv1977,,835803,1,3
Rv0676c,mmpL5,834536,1,7
Rv3626c,,831341,1,3
Rv1381,pyrC,825608,1,4
Rv0523c,,821411,1,2
Rv0133,,820060,1,4
Rv3696c,glpK,818946,1,5
Rv0117,oxyS,816997,1,2
Rv1708,,814446,1,2
Rv2838c,rbfA,814058,1,4
Rv0276,,813230,1,2
Rv2097c,pafA,810910,1,6
Rv3419c,gcp,805898,1,3
Rv3790,dprE1,805640,1,3
Rv3146,nuoB,804477,1,3
Rv2101,helZ,804119,1,4
Rv0266c,oplA,803695,1,5
Rv2358,smtB,803676,1,3
Rv0208c,,803663,1,3
Rv1244,lpqZ,803461,1,4
Rv0769,,801703,1,3
Rv0441c,,801605,1,4
Rv3866,espG1,800117,1,2
Rv1865c,,799623,1,3
Rv0876c,,799203,1,2
Rv3276c,purK,797557,1,3
Rv1928c,,795093,1,4
Rv1424c,,793824,1,3
Rv1092c,coaA,792645,1,4
Rv0599c,,792634,1,2
Rv3307,deoD,792620,1,3
Rv3089,fadD13,791842,1,3
Rv1867,,791291,1,2
Rv2911,dacB2,790732,1,3
Rv3879c,espK,790554,1,3
Rv1591,,790277,1,2
Rv0172,mce1D,789196,1,3
Rv2584c,apt,788328,1,3
Rv2326c,,787690,1,2
Rv2718c,nrdR,787559,1,3
Rv1568,bioA,785609,1,3
Rv3748,,784199,1,2
Rv3505,fadE27,784113,1,5
Rv0307c,,781930,1,3
Rv0851c,,780500,1,4
Rv1257c,,778098,1,4
Rv0727c,fucA,774484,1,4
Rv0567,,769872,1,3
Rv3616c,espA,764971,1,4
Rv2623,TB31.7,763327,1,3
Rv3732,,763225,1,3
Rv0743c,,762488,1,3
Rv1532c,,762163,1,2
Rv3287c,rsbW,760831,1,2
Rv2411c,,760144,1,2
Rv0238,,757591,1,3
Rv0147,,757008,1,2
Rv0135c,,756909,1,2
Rv1492,mutA,754579,1,7
Rv2932,ppsB,753677,1,3
Rv2516c,,752428,1,5
Rv2855,mtr,751062,1,3
Rv3472,,750169,1,2
Rv2775,,749558,1,3
Rv2922c,smc,749176,1,3
Rv0802c,,748382,1,4
Rv1500,,747324,1,2
Rv0207c,,746973,1,2
Rv0173,lprK,745609,1,3
Rv2875,mpt70,745378,1,2
Rv0428c,,745204,1,3
Rv1163,narJ,744502,1,3
Rv1217c,,744159,1,4
Rv2613c,,743604,1,3
Rv2237,,743176,1,4
Rv2531c,,740591,1,2
Rv1894c,,739859,1,2
Rv2679,echA15,738858,1,2
Rv1317c,alkA,737996,1,4
Rv3046c,,737364,1,2
Rv2285,,736431,1,4
Rv2575,,733781,1,4
Rv1605,hisF,751616,1,3
Rv3492c,,732631,1,2
Rv3016,lpqA,727858,1,2
Rv3359,,724637,1,3
Rv0161,,724068,1,3
Rv0491,regX3,723493,1,3
Rv1249c,,722876,1,3
Rv0862c,,722164,1,7
Rv2937,drrB,721219,1,2
Rv2529,,721190,1,3
Rv0216,,720019,1,3
Rv3409c,choD,719848,1,2
Rv0255c,cobQ1,718325,1,5
Rv1655,argD,717950,1,3
Rv2212,,717389,1,3
Rv1113,,715299,1,2
Rv2218,lipA,714551,1,3
Rv2337c,,714222,1,2
Rv3270,ctpC,712283,1,2
Rv2474c,,712024,1,2
Rv1428c,,711963,1,3
Rv0518,,711150,1,3
Rv0694,lldD1,709139,1,2
Rv2788,sirR,707861,1,2
Rv3282,,707535,1,2
Rv3314c,deoA,707004,1,5
Rv3916c,,706631,1,4
Rv0640,rplK,705680,1,2
Rv1566c,,704966,1,2
Rv0047c,,704728,1,3
Rv2173,idsA2,704263,1,3
Rv1398c,vapB10,700514,1,2
Rv3087,,699488,1,5
Rv1462,,699435,1,3
Rv0677c,mmpS5,698119,1,2
Rv2001,,697746,1,5
Rv3854c,ethA,697526,1,3
Rv3645,,693938,1,2
Rv3156,nuoL,693658,1,2
Rv2047c,,692939,1,4
Rv1062,,692214,1,2
Rv0025,,691140,1,3
Rv1540,,690560,1,2
Rv0067c,,690330,1,4
Rv2221c,glnE,688095,1,6
Rv1131,prpC,685759,1,2
Rv0415,thiO,684375,1,4
Rv3132c,devS,683605,1,3
Rv0077c,,682823,1,2
Rv0855,far,681480,1,3
Rv1659,argH,681009,1,2
Rv2242,,678778,1,6
Rv0323c,,678457,1,2
Rv2612c,pgsA1,678347,1,2
Rv1600,hisC1,677481,1,2
Rv1259,udgB,676813,1,3
Rv3895c,eccB2,676790,1,5
Rv2115c,mpa,676688,1,2
Rv0206c,mmpL3,676371,1,2
Rv3034c,,675034,1,3
Rv0941c,,674657,1,3
Rv2991,,674080,1,3
Rv2067c,,673481,1,2
Rv3254,,670762,1,4
Rv1331,,411525,1,2
Rv0799c,,666844,1,2
Rv2750,,666301,1,3
Rv0092,ctpA,665992,1,4
Rv1473,,665140,1,5
Rv3570c,hsaA,665073,1,2
Rv1697,,665025,1,4
Rv1838c,vapC13,662908,1,2
Rv1111c,,661019,1,2
Rv2080,lppJ,657411,1,2
Rv1571,,657246,1,2
Rv3160c,,656283,1,5
Rv0001,dnaA,655598,1,3
Rv0991c,,653135,1,2
Rv2043c,pncA,653124,1,2
Rv1647,,652946,1,2
Rv2714,,652194,1,5
Rv3569c,hsaD,651388,1,3
Rv0839,,651336,1,3
Rv1032c,trcS,651102,1,2
Rv1822,pgsA2,650416,1,2
Rv3900c,,650181,1,2
Rv2284,lipM,649735,1,2
Rv0301,vapC2,649234,1,3
Rv3497c,mce4C,648288,1,7
Rv1828,,647077,1,3
Rv0995,rimJ,646560,1,3
Rv1427c,fadD12,646410,1,4
Rv1688,mpg,643920,1,2
Rv0430,,643561,1,3
Rv3576,lppH,642070,1,3
Rv1844c,gnd1,641922,1,3
