locus_tag,gene,srm_ response,concentration,peptides_per_protein
Rv1470,trxA,641154,1,2
Rv0487,,640533,1,2
Rv3101c,ftsX,640414,1,2
Rv0081,,639784,1,2
Rv2179c,,639457,1,3
Rv2313c,,639451,1,3
Rv0419,lpqM,639035,1,3
Rv3496c,mce4D,638720,1,4
Rv1850,ureC,637457,1,3
Rv2332,mez,636961,1,6
Rv0294,tam,636785,1,4
Rv3488,,636654,1,2
Rv1227c,,636550,1,3
Rv0568,cyp135B1,634560,1,6
Rv2702,ppgK,634116,1,2
Rv1231c,,633604,1,2
Rv2463,lipP,633390,1,2
Rv2983,,632507,1,2
Rv3589,mutY,632301,1,2
Rv2585c,,631955,1,3
Rv0858c,dapC,631758,1,2
Rv2843,,631069,1,2
Rv2501c,accA1,630138,1,3
Rv1117,,628815,1,2
Rv2394,ggtB,628694,1,3
Rv1829,,627538,1,2
Rv1534,,626930,1,5
Rv1153c,omt,626633,1,2
Rv0777,purB,625207,1,2
Rv0182c,sigG,625207,1,3
Rv3329,,623329,1,2
Rv0060,,622876,1,3
Rv1914c,,622031,1,2
Rv2093c,tatC,621736,1,4
Rv0343,iniC,616177,1,4
Rv3691,,615025,1,2
Rv1050,,614281,1,3
Rv0631c,recC,613677,1,4
Rv3855,ethR,613223,1,3
Rv2073c,,613025,1,3
Rv3433c,,611360,1,2
Rv2724c,fadE20,610718,1,4
Rv3052c,nrdI,610313,1,2
Rv1130,prpD,609471,1,3
Rv3915,,609259,1,5
Rv1848,ureA,609205,1,4
Rv2717c,,607726,1,3
Rv2753c,dapA,607263,1,3
Rv2027c,dosT,607151,1,5
Rv1743,pknE,606486,1,3
Rv2764c,thyA,605106,1,3
Rv2416c,eis,601174,1,2
Rv2538c,aroB,600174,1,2
Rv0422c,thiD,599819,1,2
Rv2637,dedA,599752,1,2
Rv2497c,pdhA,597200,1,3
Rv3919c,gid,596951,1,2
Rv2629,,596356,1,3
Rv0571c,,594838,1,5
Rv0490,senX3,594698,1,2
Rv3566c,nat,594204,1,3
Rv2881c,cdsA,594171,1,2
Rv3902c,,593163,1,3
Rv0525,,592984,1,3
Rv2609c,,591973,1,3
Rv1640c,lysX,591388,1,3
Rv2092c,helY,591260,1,3
Rv3792,aftA,589226,1,2
Rv1982A,,589196,1,2
Rv0319,pcp,589034,1,2
Rv2344c,dgt,588379,1,2
Rv3610c,ftsH,587837,1,2
Rv1095,phoH2,586925,1,4
Rv1069c,,585519,1,2
Rv3479,,584478,1,3
Rv1839c,vapB13,584407,1,3
Rv0673,echA4,583113,1,3
Rv3494c,mce4F,583040,1,5
Rv0772,purD,582739,1,2
Rv3441c,mrsA,582122,1,3
Rv1216c,,581914,1,2
Rv2622,,580865,1,5
Rv2365c,,580251,1,2
Rv1426c,lipO,580005,1,3
Rv3683,,579386,1,2
Rv2743c,,579024,1,3
Rv0217c,lipW,577252,1,3
Rv3856c,,575555,1,4
Rv0558,menH,572777,1,3
Rv3860,,572615,1,3
Rv1429,,568683,1,4
Rv2697c,dut,568673,1,2
Rv0483,lprQ,568434,1,2
Rv1008,tatD,566708,1,3
Rv1830,,566430,1,2
Rv2859c,,565910,1,2
Rv1253,deaD,565481,1,4
Rv3485c,,565272,1,3
Rv1665,pks11,565200,1,2
Rv0914c,,562935,1,3
Rv3207c,,561936,1,2
Rv1556,,561769,1,3
Rv1207,folP2,560359,1,4
Rv1270c,lprA,558568,1,3
Rv0989c,grcC2,558422,1,3
Rv3092c,,556351,1,3
Rv2420c,,555771,1,2
Rv3057c,,555335,1,5
Rv2947c,pks15,553341,1,3
Rv3142c,,553218,1,2
Rv3404c,,552069,1,3
Rv0198c,zmp1,551860,1,3
Rv1514c,,551534,1,2
Rv2364c,era,551228,1,2
Rv0939,,549818,1,4
Rv1024,,546719,1,2
Rv2752c,,545070,1,3
Rv1879,,545011,1,3
Rv2671,ribD,544384,1,3
Rv0324,,543952,1,3
Rv2122c,hisE,543509,1,2
Rv1332,,543195,1,3
Rv1864c,,542773,1,5
Rv2794c,pptT,540707,1,2
Rv2118c,,540179,1,3
Rv0959A,vapB9,539561,1,2
Rv3091,,538807,1,3
Rv3715c,recR,536938,1,3
Rv0536,galE3,536232,1,2
Rv2070c,cobK,535259,1,3
Rv3278c,,533635,1,2
Rv2851c,,533513,1,2
Rv2089c,pepE,533005,1,2
Rv3861,,532683,1,2
Rv1219c,,532570,1,4
Rv0174,mce1F,532242,1,3
Rv3690,,530621,1,3
Rv2252,,527843,1,2
Rv2343c,dnaG,526254,1,3
Rv2405,,525942,1,2
Rv2418c,,525354,1,3
Rv2681,,525172,1,4
Rv2426c,,522771,1,3
Rv2566,,521437,1,3
Rv3684,,520220,1,2
Rv1263,amiB2,518944,1,3
Rv1425,,518230,1,3
Rv2152c,murC,517740,1,2
Rv0885,,517491,1,4
Rv3701c,,516587,1,4
Rv0975c,fadE13,515995,1,2
Rv3116,moeB2,514818,1,6
Rv1529,fadD24,514641,1,3
Rv3563,fadE32,514430,1,3
Rv2065,cobH,513970,1,3
Rv0012,,512931,1,2
Rv1849,ureB,511181,1,2
Rv2017,,510628,1,3
Rv2763c,dfrA,510158,1,2
Rv2421c,nadD,508710,1,2
Rv1666c,cyp139,508551,1,3
Rv0342,iniA,508340,1,2
Rv3319,sdhB,507935,1,2
Rv1730c,,507394,1,3
Rv0450c,mmpL4,507290,1,4
Rv3487c,lipF,506132,1,3
Rv2493,,503800,1,2
Rv1289,,502175,1,3
Rv1962c,,502140,1,3
Rv0093c,,501283,1,2
Rv2914c,pknI,500086,1,5
Rv3693,,499313,1,6
Rv2860c,glnA4,497051,1,3
Rv1779c,,495626,1,2
Rv0499,,494285,1,3
Rv3670,ephE,494279,1,4
Rv2713,sthA,493490,1,2
Rv2203,,493079,1,3
Rv0770,,492645,1,5
Rv1992c,ctpG,492092,1,3
Rv1698,,489854,1,3
Rv3885c,eccE2,489831,1,2
Rv0003,recF,489240,1,3
Rv3456c,rplQ,488923,1,2
Rv3181c,,488302,1,3
Rv0949,uvrD1,486463,1,3
Rv2361c,,485458,1,2
Rv1141c,echA11,484434,1,2
Rv3562,fadE31,483712,1,3
Rv0887c,,480456,1,2
Rv3214,gpm2,480299,1,3
Rv3564,fadE33,480155,1,2
Rv1299,prfA,478996,1,3
Rv0143c,,478317,1,2
Rv3247c,tmk,477750,1,2
Rv2893,,476879,1,2
Rv3062,ligB,476743,1,3
Rv2962c,,476102,1,2
Rv1509,,475961,1,3
Rv1455,,475229,1,2
Rv1685c,,475193,1,2
Rv3687c,rsfB,474634,1,2
Rv1284,canA,474373,1,2
Rv0337c,aspC,473516,1,2
Rv3647c,,473178,1,5
Rv1459c,,473062,1,2
Rv0414c,thiE,472029,1,2
Rv2554c,,471960,1,2
Rv0045c,,471648,1,3
Rv2532c,,471526,1,2
Rv2999,lppY,471497,1,2
Rv0835,lpqQ,471359,1,2
Rv3315c,cdd,470129,1,2
Rv3618,,469402,1,3
Rv0570,nrdZ,468057,1,4
Rv1632c,,467331,1,3
Rv2148c,,467005,1,2
Rv2552c,aroE,466320,1,3
Rv3268,,464494,1,3
Rv3299c,atsB,464100,1,2
Rv1188,,463745,1,3
Rv0629c,recD,463515,1,2
Rv3498c,mce4B,463323,1,3
Rv3627c,,463279,1,4
Rv3071,,461235,1,3
Rv2583c,relA,460920,1,7
Rv3565,aspB,459712,1,4
Rv2870c,dxr,459392,1,3
Rv0170,mce1B,459052,1,3
Rv0993,galU,457957,1,2
Rv0817c,,457538,1,3
Rv1774,,453770,1,3
Rv1926c,mpt63,452866,1,2
Rv2286c,,452508,1,4
Rv0877,,451604,1,2
Rv1597,,451234,1,2
Rv3765c,tcrX,450977,1,3
Rv1607,chaA,449322,1,2
Rv1742,,448536,1,2
Rv0274,,448218,1,2
Rv3277,,447536,1,3
Rv3546,fadA5,447349,1,3
Rv0485,,447264,1,3
Rv2366c,,447138,1,2
Rv2725c,hflX,447111,1,5
Rv2521,bcp,445118,1,2
Rv2559c,,443990,1,2
Rv0846c,,442908,1,2
Rv3231c,,442315,1,2
Rv2303c,,441971,1,4
Rv1107c,xseB,441050,1,2
Rv1011,ispE,440022,1,3
Rv3225c,,439615,1,6
Rv1485,hemZ,439547,1,2
Rv1472,echA12,438484,1,4
Rv0653c,,438265,1,2
Rv1418,lprH,437718,1,2
Rv2690c,,437701,1,3
Rv1524,,437422,1,4
Rv0214,fadD4,436700,1,2
Rv2980,,435809,1,3
Rv3221A,rshA,435446,1,2
Rv0628c,,435387,1,2
Rv2188c,pimB,434672,1,4
Rv3631,,433360,1,2
Rv0987,,431961,1,3
Rv3173c,,431355,1,2
Rv1906c,,429980,1,2
Rv3759c,proX,428228,1,2
Rv3796,,426313,1,2
Rv0526,,426010,1,2
Rv1963c,mce3R,425315,1,3
Rv3560c,fadE30,424581,1,5
Rv1812c,,423937,1,3
Rv1168c,PPE17,422860,1,3
Rv3259,,422769,1,2
Rv2821c,,422676,1,3
Rv0569,,421330,1,2
Rv1633,uvrB,421087,1,2
Rv1722,,419857,1,2
Rv0704,rplB,418430,1,2
Rv1279,,418099,1,2
Rv0027,,417800,1,3
Rv3414c,sigD,417326,1,3
Rv0344c,lpqJ,417000,1,3
Rv0908,ctpE,416392,1,2
Rv0897c,,416367,1,3
Rv1878,glnA3,414063,1,2
Rv2854,,413658,1,2
Rv3262,fbiB,413405,1,2
Rv2190c,,413162,1,3
Rv0013,trpG,411230,1,2
Rv2236c,cobD,410634,1,2
Rv1477,ripA,409590,1,2
Rv2506,,409589,1,3
Rv3752c,,409328,1,3
Rv2567,,409002,1,3
Rv1625c,cya,408778,1,3
Rv3806c,ubiA,408631,1,3
Rv0768,aldA,407446,1,3
Rv1835c,,406948,1,5
Rv2704,,405992,1,2
Rv3286c,sigF,404863,1,7
Rv3730c,,404762,1,3
Rv1766,,404614,1,2
Rv0645c,mmaA1,403327,1,2
Rv2789c,fadE21,401854,1,2
Rv3415c,,401656,1,3
Rv0529,ccsA,401248,1,2
Rv2887,,401101,1,2
Rv0752c,fadE9,400908,1,2
Rv3194c,,400649,1,2
Rv3451,cut3,399851,1,3
Rv2385,mbtJ,398672,1,3
Rv1564c,treX,397834,1,2
Rv1661,pks7,397736,1,5
Rv1976c,,397387,1,4
Rv2869c,rip,396369,1,2
Rv2727c,miaA,395670,1,3
Rv0938,ligD,394885,1,3
Rv0477,,392842,1,2
Rv0310c,,392466,1,2
Rv1501,,392057,1,2
Rv1204c,,391636,1,4
Rv2282c,,390191,1,5
Rv1675c,cmr,387932,1,3
Rv0552,,387930,1,2
Rv1202,dapE,387342,1,2
Rv2956,,387332,1,2
Rv2526,vapB17,385639,1,2
Rv2779c,,385183,1,2
Rv0971c,echA7,384596,1,4
Rv3717,,382677,1,3
Rv2984,ppk1,382478,1,2
Rv2090,,381931,1,3
Rv1242,,380898,1,2
Rv1905c,aao,380589,1,3
Rv2184c,,380282,1,2
Rv3249c,,378832,1,2
Rv2824c,,377915,1,5
Rv1142c,echA10,377119,1,3
Rv1687c,,376711,1,2
Rv2923c,,376015,1,2
Rv0029,,374786,1,2
Rv0353,hspR,373749,1,2
Rv0062,celA1,373233,1,3
Rv0425c,ctpH,371368,1,3
Rv1997,ctpF,370963,1,2
Rv0169,mce1A,369643,1,3
Rv3604c,,368092,1,3
Rv3164c,moxR3,367945,1,3
Rv3455c,truA,365767,1,3
Rv0805,,365305,1,2
Rv0136,cyp138,365133,1,5
Rv0779c,,364405,1,2
Rv1431,,364366,1,2
Rv2700,,364206,1,2
Rv3797,fadE35,364052,1,2
Rv2912c,,364049,1,2
Rv0713,,364003,1,3
Rv2133c,,363809,1,3
Rv0792c,,363728,1,3
Rv2786c,ribF,363292,1,3
Rv1809,PPE33,363053,1,2
Rv0550c,vapB3,362672,1,2
Rv1167c,,361358,1,3
Rv3100c,smpB,361240,1,2
Rv1161,narG,360728,1,2
Rv1868,,360617,1,4
Rv2423,,357686,1,4
Rv0542c,menE,356989,1,2
Rv0807,,356955,1,2
Rv2938,drrC,356823,1,2
Rv0184,,355065,1,2
Rv0561c,,354344,1,3
Rv0381c,,353914,1,2
Rv3651,,351369,1,2
Rv1110,lytB2,351014,1,2
Rv2900c,fdhF,350648,1,3
Rv2610c,pimA,350359,1,2
Rv2127,ansP1,349217,1,2
Rv0581,,345994,1,2
Rv3726,,343960,1,2
Rv0539,,343257,1,3
Rv0988,,343084,1,3
Rv1657,argR,342380,1,2
Rv2062c,cobN,341679,1,6
Rv1033c,trcR,341630,1,2
Rv1637c,,340640,1,2
Rv1846c,blaI,340452,1,3
Rv1586c,,337757,1,3
Rv2728c,,337157,1,3
Rv2410c,,335676,1,2
Rv3673c,,334842,1,2
Rv1288,,334427,1,3
Rv1578c,,333373,1,2
Rv0404,fadD30,332813,1,2
Rv2958c,,332683,1,3
Rv0893c,,331194,1,2
Rv3372,otsB2,330921,1,2
Rv0112,gca,330529,1,2
Rv2595,,329870,1,2
Rv2156c,murX,329223,1,2
Rv0982,mprB,329134,1,2
Rv3296,lhr,328294,1,3
Rv1994c,cmtR,328294,1,2
Rv3786c,,328115,1,2
Rv1606,hisI,326550,1,2
Rv0495c,,325914,1,2
Rv1691,,323876,1,3
Rv2658c,,322213,1,2
Rv2440c,obg,322132,1,3
Rv1569,bioF1,322027,1,4
Rv2207,cobT,321473,1,2
Rv3523,ltp3,321465,1,3
Rv3559c,,321439,1,2
Rv1781c,malQ,320037,1,4
Rv1208,gpgS,319348,1,2
Rv3550,echA20,318626,1,2
Rv3579c,,318232,1,2
Rv0380c,,317359,1,2
Rv0486,mshA,315868,1,3
Rv1474c,,315709,1,3
Rv3170,aofH,315559,1,3
Rv1465,,314944,1,5
Rv3493c,,313659,1,3
Rv2846c,efpA,313220,1,2
Rv2048c,pks12,312961,1,3
Rv1320c,,312724,1,2
Rv0196,,312456,1,3
Rv2871,,311842,1,2
Rv2307c,,311706,1,2
Rv3145,nuoA,309830,1,2
Rv0263c,,309682,1,2
Rv1277,,308518,1,2
Rv1151c,,308147,1,2
Rv2650c,,307440,1,2
Rv1618,tesB1,307276,1,2
Rv0233,nrdB,306336,1,2
Rv1547,dnaE1,305937,1,2
Rv0808,purF,304551,1,2
Rv3406,,304454,1,2
Rv2008c,,303402,0,2
Rv1738,,303333,0,2
Rv0728c,serA2,303295,0,3
Rv3361c,,302842,0,2
Rv3663c,dppD,302577,0,4
Rv1125,,302428,0,2
Rv1563c,treY,299991,0,3
Rv0179c,lprO,298701,0,3
Rv1014c,pth,298634,0,2
Rv2380c,mbtE,298207,0,2
Rv1959c,parE1,298047,0,2
Rv3886c,mycP2,297823,0,3
Rv2705c,,297764,0,2
Rv1366,,297117,0,2
Rv2000,,296880,0,3
Rv0823c,,296773,0,4
Rv3120,,295893,0,2
Rv3644c,,295287,0,2
Rv0888,,295003,0,2
Rv0983,pepD,294537,0,2
Rv0883c,,293573,0,4
Rv2695,,293540,0,4
Rv3543c,fadE29,293406,0,2
Rv1045,,293294,0,2
Rv0937c,mku,293148,0,5
Rv1386,PE15,292763,0,2
Rv1841c,,292645,0,2
Rv3480c,,292549,0,3
Rv0138,,291413,0,2
Rv0958,,291166,0,2
Rv3820c,papA2,291050,0,3
Rv3362c,,290934,0,4
Rv0786c,,290089,0,2
Rv3328c,sigJ,289545,0,2
Rv2139,pyrD,289316,0,2
Rv3330,dacB1,288333,0,3
Rv1160,mutT2,288274,0,2
Rv2830c,vapB22,287386,0,2
Rv0376c,,286474,0,3
Rv1922,,284160,0,2
Rv0880,,283967,0,2
Rv3088,,283042,0,2
Rv3554,fdxB,282896,0,3
Rv3923c,rnpA,282412,0,3
Rv1417,,281917,0,2
Rv0790c,,281739,0,2
Rv3310,sapM,280864,0,2
Rv1748,,280581,0,4
Rv0735,sigL,280271,0,3
Rv0923c,,280078,0,3
Rv1247c,relB,279259,0,2
Rv0840c,pip,279164,0,2
Rv0848,cysK2,278790,0,2
Rv1987,,278122,0,2
Rv1264,,278009,0,3
Rv0630c,recB,277031,0,4
Rv3377c,,276836,0,2
Rv3167c,,276180,0,2
Rv1345,mbtM,276084,0,2
Rv0616A,,275848,0,3
Rv0565c,,275499,0,2
Rv1493,mutB,275493,0,2
Rv1847,,275097,0,2
Rv1420,uvrC,274506,0,2
Rv2571c,,273973,0,2
Rv0162c,adhE1,273615,0,2
Rv3666c,dppA,273050,0,4
Rv1667c,,271023,0,2
Rv1334,mec,268929,0,2
Rv2169c,,268276,0,2
Rv0349,,268238,0,2
Rv2677c,hemY,267803,0,2
Rv0385,,267444,0,4
Rv3859c,gltB,267294,0,2
Rv0311,,266602,0,2
Rv3672c,,265866,0,3
Rv1165,typA,264875,0,2
Rv0264c,,264771,0,3
Rv2748c,ftsK,264670,0,2
Rv1709,scpA,260659,0,2
Rv1382,,260448,0,2
Rv1576c,,259917,0,2
Rv1254,,257678,0,2
Rv2822c,,257410,0,2
Rv3552,,256103,0,2
Rv1321,,255382,0,2
Rv3530c,,254467,0,3
Rv0051,,254263,0,3
Rv3625c,mesJ,253972,0,3
Rv1866,,252236,0,2
Rv1644,tsnR,252192,0,2
Rv3835,,251108,0,2
Rv2902c,rnhB,250621,0,3
Rv0974c,accD2,249216,0,2
Rv2994,,248099,0,3
Rv2802c,,246328,0,2
Rv3265c,wbbL1,245535,0,2
Rv2431c,PE25,245083,0,2
Rv2793c,truB,244751,0,2
Rv0063,,244039,0,2
Rv1486c,,243406,0,2
Rv3665c,dppB,241764,0,3
Rv0549c,vapC3,241283,0,3
Rv1721c,vapB12,240543,0,2
Rv0643c,mmaA3,240390,0,2
Rv3306c,amiB1,240335,0,2
Rv3522,ltp4,239592,0,2
Rv2522c,,237548,0,3
Rv2045c,lipT,237506,0,2
Rv0239,,237085,0,2
Rv2011c,,236544,0,3
Rv3553,,234645,0,2
Rv3238c,,234440,0,2
Rv3662c,,233106,0,2
Rv3836,,232421,0,2
Rv2667,clpC2,231932,0,4
Rv2102,,231669,0,2
Rv3317,sdhD,230658,0,3
Rv3308,pmmB,228360,0,2
Rv0966c,,228124,0,2
Rv2633c,,227478,0,3
Rv2733c,,226624,0,3
Rv2012,,226611,0,2
Rv0597c,,225999,0,2
Rv1005c,pabB,225866,0,3
Rv3334,,225234,0,2
Rv2756c,hsdM,224971,0,4
Rv0087,hycE,224477,0,2
Rv1885c,,224371,0,2
Rv0595c,vapC4,224245,0,2
Rv2842c,,223122,0,2
Rv0251c,hsp,222952,0,2
Rv2601A,,222645,0,2
Rv2514c,,222494,0,2
Rv1138c,,221334,0,4
Rv3179,,220973,0,2
Rv0710,rpsQ,219119,0,2
Rv3382c,lytB1,217912,0,3
Rv0586,mce2R,217560,0,2
Rv0973c,accA2,217440,0,3
Rv2397c,cysA1,216442,0,3
Rv1022,lpqU,215091,0,2
Rv3758c,proV,214223,0,2
Rv1817,,213137,0,2
Rv2219,,212996,0,2
Rv1773c,,212982,0,3
Rv2867c,,211639,0,3
Rv1991A,mazE6,211377,0,2
Rv1456c,,211028,0,2
Rv1842c,,210967,0,2
Rv2669,,209505,0,2
Rv3081,,208447,0,2
Rv1226c,,208379,0,2
Rv1159,pimE,206795,0,2
Rv3435c,,205154,0,2
Rv1114,,204841,0,2
Rv2458,mmuM,204663,0,3
Rv2103c,,204260,0,2
Rv3245c,mtrB,203859,0,2
Rv1981c,nrdF1,201534,0,2
Rv3617,ephA,201109,0,2
Rv1393c,,200092,0,2
Rv2327,,199415,0,2
Rv3694c,,198916,0,2
Rv1523,,197804,0,3
Rv1646,PE17,197730,0,2
Rv2966c,,197655,0,2
Rv0434,,197103,0,2
Rv2664,,196778,0,2
Rv3768,,196174,0,2
Rv2950c,fadD29,195213,0,2
Rv3832c,,195072,0,3
Rv1026,,194336,0,2
Rv2066,cobI,194035,0,2
Rv1442,bisC,193000,0,2
Rv3030,,192288,0,2
Rv0744c,,190636,0,2
Rv2946c,pks1,188054,0,2
Rv3495c,lprN,187729,0,2
Rv1175c,fadH,185448,0,2
Rv1750c,fadD1,184934,0,2
Rv3049c,,184773,0,2
Rv0220,lipC,183677,0,2
Rv1502,,182622,0,2
Rv2287,yjcE,180910,0,2
Rv2849c,cobO,180698,0,2
Rv0215c,fadE3,179650,0,3
Rv0078,,179233,0,2
Rv0766c,cyp123,178774,0,2
Rv3024c,trmU,178513,0,2
Rv3903c,,176886,0,2
Rv2235,,176528,0,2
Rv3744,nmtR,175953,0,2
Rv2926c,,175495,0,2
Rv3332,nagA,175357,0,2
Rv3054c,,173954,0,2
Rv1164,narI,173861,0,2
Rv2205c,,173051,0,2
Rv0166,fadD5,172859,0,2
Rv2183c,,172670,0,3
Rv1346,mbtN,172412,0,2
Rv2370c,,170840,0,2
Rv2413c,,170204,0,2
Rv1154c,,170069,0,3
Rv1852,ureG,170062,0,2
Rv2034,,168524,0,2
Rv3787c,,168190,0,2
Rv0421c,,166700,0,2
Rv3894c,eccC2,165156,0,2
Rv1723,,164933,0,2
Rv2359,zur,163939,0,2
Rv2776c,,163724,0,3
Rv3677c,,163649,0,2
Rv0869c,moaA2,163454,0,2
Rv3764c,tcrY,163213,0,2
Rv3922c,,160494,0,2
Rv0881,,159869,0,4
Rv0787,,159095,0,2
Rv3226c,,158020,0,2
Rv0959,,158007,0,3
Rv2125,,156959,0,2
Rv1660,pks10,156848,0,2
Rv3360,,156667,0,2
Rv3327,,156495,0,2
Rv2464c,,156231,0,2
Rv0070c,glyA2,156063,0,3
Rv3538,,155855,0,3
Rv0638,secE1,155085,0,2
Rv3266c,rmlD,154915,0,2
Rv1028c,kdpD,153910,0,2
Rv0758,phoR,153604,0,4
Rv1985c,,152477,0,3
Rv2350c,plcB,151305,0,2
Rv3405c,,151122,0,2
Rv1713,engA,150459,0,2
Rv0339c,,150374,0,2
Rv1043c,,149081,0,2
Rv2918c,glnD,148869,0,2
Rv3375,amiD,148766,0,2
Rv2659c,,147696,0,2
Rv1329c,dinG,143841,0,4
Rv3234c,,143114,0,2
Rv1162,narH,141852,0,2
Rv3069,,141776,0,2
Rv2033c,,141531,0,2
Rv0346c,ansP2,140764,0,2
Rv3573c,fadE34,140433,0,2
Rv1221,sigE,140323,0,2
Rv2844,,140260,0,2
Rv3704c,gshA,138070,0,2
Rv3733c,,137878,0,2
Rv3784,,135917,0,2
Rv1241,,135462,0,2
Rv3572,,134655,0,2
Rv2206,,134473,0,2
Rv2383c,mbtB,134135,0,3
Rv3233c,,133384,0,2
Rv2217,lipB,133309,0,2
Rv2176,pknL,131840,0,2
Rv3007c,,131227,0,2
Rv2488c,,129123,0,3
Rv2378c,mbtG,127969,0,2
Rv1405c,,126298,0,2
Rv3544c,fadE28,126092,0,2
Rv3221c,TB7.3,125918,0,2
Rv3082c,virS,124463,0,2
Rv0312,,123040,0,2
Rv0405,pks6,122839,0,2
Rv3121,cyp141,122775,0,2
Rv2324,,121870,0,2
Rv2170,,120079,0,2
Rv1183,mmpL10,119725,0,2
Rv0765c,,119195,0,2
Rv1190,,118780,0,2
Rv2336,,118349,0,2
Rv2957,,117862,0,2
Rv1635c,,117351,0,2
Rv2300c,,116707,0,2
Rv0024,,116580,0,2
Rv2835c,ugpA,113320,0,2
Rv3561,fadD3,113182,0,2
Rv3585,radA,113085,0,2
Rv2539c,aroK,112794,0,2
Rv0516c,,108963,0,2
Rv3713,cobQ2,107919,0,2
Rv0604,lpqO,107902,0,2
Rv1913,,105429,0,2
Rv2266,cyp124,104737,0,2
Rv2505c,fadD35,104452,0,2
Rv1620c,cydC,103553,0,2
Rv1348,irtA,103538,0,2
Rv0898c,,100306,0,2
Rv2573,,99500,0,2
Rv1222,rseA,98717,0,2
Rv1727,,98419,0,2
Rv2624c,,94193,0,3
Rv2735c,,93830,0,2
Rv1127c,ppdK,93093,0,2
Rv3138,pflA,92204,0,3
Rv0035,fadD34,90381,0,2
Rv1674c,,89847,0,2
Rv3594,,88906,0,2
Rv0783c,emrB,85873,0,2
Rv0921,,85024,0,2
Rv3711c,dnaQ,84269,0,2
Rv1729c,,83813,0,2
Rv3267,,83285,0,2
Rv3540c,ltp2,81669,0,2
Rv0979A,rpmF,80908,0,2
Rv1186c,,80334,0,2
Rv3131,,78385,0,2
Rv1775,,76950,0,2
Rv3107c,agpS,76943,0,2
Rv1173,fbiC,76680,0,2
Rv1530,adh,76112,0,2
Rv2820c,,75343,0,2
Rv2138,lppL,74806,0,2
Rv3341,metA,72889,0,2
Rv2894c,xerC,72860,0,2
Rv1525,wbbL2,72553,0,2
Rv1745c,idi,63912,0,2
Rv2382c,mbtC,60874,0,2
Rv0764c,cyp51,49365,0,2
Rv2273,,37999,0,2
